2020-06-10 13:11:57,197 [      1]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2020-06-10 13:11:57,254 [     58]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-201.7846.76, 01 Jun 2020 09:47) 
2020-06-10 13:11:57,276 [     80]   INFO -        #com.intellij.idea.Main - OS: Windows 8.1 (6.3, amd64) 
2020-06-10 13:11:57,276 [     80]   INFO -        #com.intellij.idea.Main - JRE: 11.0.7+10-b765.53 (JetBrains s.r.o.) 
2020-06-10 13:11:57,276 [     80]   INFO -        #com.intellij.idea.Main - JVM: 11.0.7+10-b765.53 (OpenJDK 64-Bit Server VM) 
2020-06-10 13:11:57,277 [     81]   INFO -        #com.intellij.idea.Main - JVM Args: -Didea.auto.reload.plugins=true -Didea.classpath.index.enabled=false -Didea.config.path=C:\Users\sachith\Documents\PluginDemoK\build\idea-sandbox\config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=C:\Users\sachith\Documents\PluginDemoK\build\idea-sandbox\plugins -Didea.required.plugins.id=org.example.PluginDemoK -Didea.system.path=C:\Users\sachith\Documents\PluginDemoK\build\idea-sandbox\system -Xms256m -Xmx512m -Dfile.encoding=windows-1252 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2020-06-10 13:11:57,277 [     81]   INFO -        #com.intellij.idea.Main - Locale=en_US JNU=Cp1252 file.encoding=windows-1252 
2020-06-10 13:11:57,689 [    493]   INFO - ntellij.idea.ApplicationLoader - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@4469c1a2[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@5931f2fe 
2020-06-10 13:11:57,794 [    598]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 567 ms 
2020-06-10 13:11:57,997 [    801]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2020-06-10 13:11:58,885 [   1689]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-groovy.xml 
2020-06-10 13:11:58,886 [   1690]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-detection-groovy.xml 
2020-06-10 13:11:59,303 [   2107]   INFO - llij.ide.plugins.PluginManager - Plugin com.intellij.java misses optional descriptor profiler-java.xml 
2020-06-10 13:11:59,399 [   2203]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (201.7846.76), com.intellij.platform.images (201.7846.76), JetBrains Repository Search (201.7846.76), Subversion (201.7846.76), XPathView + XSLT (201.7846.76), XSLT Debugger (201.7846.76), Smali Support (201.7846.76), Configuration Script (201.7846.76), Copyright (201.7846.76), Java (201.7846.76), Bytecode Viewer (201.7846.76), Git (201.7846.76), ChangeReminder (201.7846.76), Next File Prediction (201.7846.76), JUnit (201.7846.76), Task Management (201.7846.76), GitHub (201.7846.76), IntelliLang (201.7846.76), TestNG (201.7846.76), Code Coverage for Java (201.7846.76), Markdown (201.7846.76), Java IDE Customization (201.7846.76), Java Stream Debugger (201.7846.76), Eclipse Interoperability (201.7846.76), Java Bytecode Decompiler (201.7846.76), Gradle (201.7846.76), macOS Light Theme (201.7846.76), Windows 10 Light Theme (201.7846.76), Properties (201.7846.76), Ant (201.7846.76), Groovy (201.7846.76), Maven (201.7846.76), Gradle-Java (201.7846.76), Gradle-Maven (201.7846.76), Java Internationalization (201.7846.76), Kotlin (1.3.72-release-IJ2020.1-1), UI Designer (201.7846.76), Plugin DevKit (201.7846.76), JavaFX (201.7846.76), Resource Bundle Editor (201.7846.76), Machine Learning Code Completion (201.7846.76), Mercurial (201.7846.76), EditorConfig (201.7846.76), Terminal (201.7846.76), Android (201.7846.76), Shell Script (201.7846.76), TextMate bundles (201.7846.76), YAML (201.7846.76), Grazie (201.7846.76), Settings Repository (201.7846.76) 
2020-06-10 13:11:59,399 [   2203]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Plugin display name here (1.0-SNAPSHOT) 
2020-06-10 13:11:59,928 [   2732]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=492; buffer=10; max=492 
2020-06-10 13:12:00,544 [   3348]   INFO - tellij.util.io.FileChannelUtil - un-interruptible FileChannel-s will be used for indexes 
2020-06-10 13:12:00,757 [   3561]   INFO - fs.newvfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\sachith\Documents\PluginDemoK\build\idea-sandbox\system\caches\names.dat' does not exist 
2020-06-10 13:12:00,958 [   3762]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=13, fontScale=1.0; restored: fontSize=13, fontScale=1.0 
2020-06-10 13:12:01,073 [   3877]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2020-06-10 13:12:01,130 [   3934]   WARN - j.internal.DebugAttachDetector - Unable to start DebugAttachDetector, please add `--add-exports java.base/jdk.internal.vm=ALL-UNNAMED` to VM options 
2020-06-10 13:12:01,143 [   3947]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2020-06-10 13:12:01,204 [   4008]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2020-06-10 13:12:01,204 [   4008]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2020-06-10 13:12:01,244 [   4048]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Users\sachith\.gradle\caches\modules-2\files-2.1\com.jetbrains.intellij.idea\ideaIC\2020.1.2\86566d2c582df026dd77c0c502a21dfac312563a\ideaIC-2020.1.2\bin\win\fsnotifier64.exe 
2020-06-10 13:12:01,270 [   4074]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2020-06-10 13:12:02,052 [   4856]   INFO - stubs.SerializationManagerImpl - Name storage is repaired 
2020-06-10 13:12:02,106 [   4910]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FilenameIndex'; old = -1, new = 3 
2020-06-10 13:12:02,172 [   4976]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2020-06-10 13:12:02,286 [   5090]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FrameworkDetectionIndex'; old = -1, new = 0 
2020-06-10 13:12:02,363 [   5167]   INFO - penapi.application.Experiments - Experimental features enabled for user: wsl.p9.support, wsl.p9.show.roots.in.file.chooser, inline.browse.button, linux.native.menu, recent.and.edited.files.together, show.create.new.element.in.popup, copy.reference.popup, new.large.text.file.viewer, property.value.inplace.editing, terminal.shell.command.handling 
2020-06-10 13:12:02,528 [   5332]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'TodoIndex'; old = -1, new = 4107 
2020-06-10 13:12:03,113 [   5917]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'IdIndex'; old = -1, new = 4112 
2020-06-10 13:12:03,396 [   6200]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'filetypes'; old = -1, new = 2 
2020-06-10 13:12:03,423 [   6227]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Stubs'; old = -1, new = 46 
2020-06-10 13:12:03,970 [   6774]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Trigram.Index'; old = -1, new = 4099 
2020-06-10 13:12:04,002 [   6806]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'fileIncludes'; old = -1, new = 6 
2020-06-10 13:12:04,085 [   6889]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'DomFileIndex'; old = -1, new = -1189920956 
2020-06-10 13:12:04,101 [   6905]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'RelaxSymbolIndex'; old = -1, new = 0 
2020-06-10 13:12:04,122 [   6926]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'XmlTagNames'; old = -1, new = 1 
2020-06-10 13:12:04,149 [   6953]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'XmlNamespaces'; old = -1, new = 7 
2020-06-10 13:12:04,168 [   6972]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'html5.custom.attributes.index'; old = -1, new = 1 
